accession_number,technology,assembly
"KY408644.1","Illumina","BWA v. 0.5.9"
"KY408643.1","Illumina","BWA v. 0.5.9"
"KY408642.1","Illumina","BWA v. 0.5.9"
"KY408641.1","Illumina","BWA v. 0.5.9"
"KY408640.1","Illumina","BWA v. 0.5.9"
"KY408639.1","Illumina","BWA v. 0.5.9"
"KY408638.1","Illumina","BWA v. 0.5.9"
"KY408637.1","Illumina","BWA v. 0.5.9"
"KY408636.1","Illumina","BWA v. 0.5.9"
"KY408635.1","Illumina","BWA v. 0.5.9"
"KY408634.1","Illumina","BWA v. 0.5.9"
"KY408633.1","Illumina","BWA v. 0.5.9"
"KY408632.1","Illumina","BWA v. 0.5.9"
"KY408631.1","Illumina","BWA v. 0.5.9"
"KY408630.1","Illumina","BWA v. 0.5.9"
"KY408629.1","Illumina","BWA v. 0.5.9"
"KY408628.1","Illumina","BWA v. 0.5.9"
"KY408627.1","Illumina","BWA v. 0.5.9"
"KY408626.1","Illumina","BWA v. 0.5.9"
"KY408625.1","Illumina","BWA v. 0.5.9"
"KY408624.1","Illumina","BWA v. 0.5.9"
"KY408623.1","Illumina","BWA v. 0.5.9"
"KY408622.1","Illumina","BWA v. 0.5.9"
"KY408621.1","Illumina","BWA v. 0.5.9"
"KY408620.1","Illumina","BWA v. 0.5.9"
"KY408619.1","Illumina","BWA v. 0.5.9"
"KY408618.1","Illumina","BWA v. 0.5.9"
"KY408617.1","Illumina","BWA v. 0.5.9"
"KY408616.1","Illumina","BWA v. 0.5.9"
"KY408615.1","Illumina","BWA v. 0.5.9"
"KY408614.1","Illumina","BWA v. 0.5.9"
"KY408613.1","Illumina","BWA v. 0.5.9"
"KY408612.1","Illumina","BWA v. 0.5.9"
"KY408611.1","Illumina","BWA v. 0.5.9"
"KY408610.1","Illumina","BWA v. 0.5.9"
"KY408609.1","Illumina","BWA v. 0.5.9"
"KY408608.1","Illumina","BWA v. 0.5.9"
"KY408607.1","Illumina","BWA v. 0.5.9"
"KY408606.1","Illumina","BWA v. 0.5.9"
"KY408605.1","Illumina","BWA v. 0.5.9"
"KY408604.1","Illumina","BWA v. 0.5.9"
"KY408603.1","Illumina","BWA v. 0.5.9"
"KY408602.1","Illumina","BWA v. 0.5.9"
"KY408601.1","Illumina","BWA v. 0.5.9"
"KY408600.1","Illumina","BWA v. 0.5.9"
"KY408599.1","Illumina","BWA v. 0.5.9"
"KY408598.1","Illumina","BWA v. 0.5.9"
"KY408597.1","Illumina","BWA v. 0.5.9"
"KY408596.1","Illumina","BWA v. 0.5.9"
"KY408595.1","Illumina","BWA v. 0.5.9"
"KY408594.1","Illumina","BWA v. 0.5.9"
"KY408593.1","Illumina","BWA v. 0.5.9"
"KY408592.1","Illumina","BWA v. 0.5.9"
"KY408591.1","Illumina","BWA v. 0.5.9"
"KY408590.1","Illumina","BWA v. 0.5.9"
"KY408589.1","Illumina","BWA v. 0.5.9"
"KY408588.1","Illumina","BWA v. 0.5.9"
"KY408587.1","Illumina","BWA v. 0.5.9"
"KY408586.1","Illumina","BWA v. 0.5.9"
"KY408585.1","Illumina","BWA v. 0.5.9"
"KY408584.1","Illumina","BWA v. 0.5.9"
"KY408583.1","Illumina","BWA v. 0.5.9"
"KY408582.1","Illumina","BWA v. 0.5.9"
"KY408581.1","Illumina","BWA v. 0.5.9"
"KY408580.1","Illumina","BWA v. 0.5.9"
"KY408579.1","Illumina","BWA v. 0.5.9"
"KY408578.1","Illumina","BWA v. 0.5.9"
"KY408577.1","Illumina","BWA v. 0.5.9"
"KY408576.1","Illumina","BWA v. 0.5.9"
"KY408575.1","Illumina","BWA v. 0.5.9"
"KY408574.1","Illumina","BWA v. 0.5.9"
"KY408573.1","Illumina","BWA v. 0.5.9"
"KY408572.1","Illumina","BWA v. 0.5.9"
"KY408571.1","Illumina","BWA v. 0.5.9"
"KY408570.1","Illumina","BWA v. 0.5.9"
"KY408569.1","Illumina","BWA v. 0.5.9"
"KY408568.1","Illumina","BWA v. 0.5.9"
"KY408567.1","Illumina","BWA v. 0.5.9"
"KY408566.1","Illumina","BWA v. 0.5.9"
"KY408565.1","Illumina","BWA v. 0.5.9"
"KY408564.1","Illumina","BWA v. 0.5.9"
"KY408563.1","Illumina","BWA v. 0.5.9"
"KY408562.1","Illumina","BWA v. 0.5.9"
"KY408561.1","Illumina","BWA v. 0.5.9"
"KY408560.1","Illumina","BWA v. 0.5.9"
"KY408559.1","Illumina","BWA v. 0.5.9"
"KY408558.1","Illumina","BWA v. 0.5.9"
"KY408557.1","Illumina","BWA v. 0.5.9"
"ON155512.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155511.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155510.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155509.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155508.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155507.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155506.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155505.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155504.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155503.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155502.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155501.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155500.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155499.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155498.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155497.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155496.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155495.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155494.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155493.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"KY408556.1","Illumina","BWA v. 0.5.9"
"KY408555.1","Illumina","BWA v. 0.5.9"
"KY408554.1","Illumina","BWA v. 0.5.9"
"KY408553.1","Illumina","BWA v. 0.5.9"
"KY408552.1","Illumina","BWA v. 0.5.9"
"KY408551.1","Illumina","BWA v. 0.5.9"
"KY408550.1","Illumina","BWA v. 0.5.9"
"KY408549.1","Illumina","BWA v. 0.5.9"
"KY408548.1","Illumina","BWA v. 0.5.9"
"KY408547.1","Illumina","BWA v. 0.5.9"
"KY408546.1","Illumina","BWA v. 0.5.9"
"KY408545.1","Illumina","BWA v. 0.5.9"
"KY408544.1","Illumina","BWA v. 0.5.9"
"KY408543.1","Illumina","BWA v. 0.5.9"
"KY408542.1","Illumina","BWA v. 0.5.9"
"KY408541.1","Illumina","BWA v. 0.5.9"
"KY408540.1","Illumina","BWA v. 0.5.9"
"KY408539.1","Illumina","BWA v. 0.5.9"
"KY408538.1","Illumina","BWA v. 0.5.9"
"KY408537.1","Illumina","BWA v. 0.5.9"
"KY408536.1","Illumina","BWA v. 0.5.9"
"KY408535.1","Illumina","BWA v. 0.5.9"
"KY408534.1","Illumina","BWA v. 0.5.9"
"KY408533.1","Illumina","BWA v. 0.5.9"
"KY408532.1","Illumina","BWA v. 0.5.9"
"KY408531.1","Illumina","BWA v. 0.5.9"
"KY408530.1","Illumina","BWA v. 0.5.9"
"KY408529.1","Illumina","BWA v. 0.5.9"
"KY408528.1","Illumina","BWA v. 0.5.9"
"KY408527.1","Illumina","BWA v. 0.5.9"
"KY408526.1","Illumina","BWA v. 0.5.9"
"KY408525.1","Illumina","BWA v. 0.5.9"
"KY408524.1","Illumina","BWA v. 0.5.9"
"KY408523.1","Illumina","BWA v. 0.5.9"
"KY408522.1","Illumina","BWA v. 0.5.9"
"KY408521.1","Illumina","BWA v. 0.5.9"
"KY408520.1","Illumina","BWA v. 0.5.9"
"KY408519.1","Illumina","BWA v. 0.5.9"
"KY408518.1","Illumina","BWA v. 0.5.9"
"KY408517.1","Illumina","BWA v. 0.5.9"
"KY408516.1","Illumina","BWA v. 0.5.9"
"KY408515.1","Illumina","BWA v. 0.5.9"
"KY408514.1","Illumina","BWA v. 0.5.9"
"KY408513.1","Illumina","BWA v. 0.5.9"
"KY408512.1","Illumina","BWA v. 0.5.9"
"KY408511.1","Illumina","BWA v. 0.5.9"
"KY408510.1","Illumina","BWA v. 0.5.9"
"KY408509.1","Illumina","BWA v. 0.5.9"
"KY408508.1","Illumina","BWA v. 0.5.9"
"KY408507.1","Illumina","BWA v. 0.5.9"
"KY408506.1","Illumina","BWA v. 0.5.9"
"KY408505.1","Illumina","BWA v. 0.5.9"
"KY408504.1","Illumina","BWA v. 0.5.9"
"KY408503.1","Illumina","BWA v. 0.5.9"
"KY408502.1","Illumina","BWA v. 0.5.9"
"KY408501.1","Illumina","BWA v. 0.5.9"
"KY408500.1","Illumina","BWA v. 0.5.9"
"KY408499.1","Illumina","BWA v. 0.5.9"
"KY408498.1","Illumina","BWA v. 0.5.9"
"KY408497.1","Illumina","BWA v. 0.5.9"
"KY408496.1","Illumina","BWA v. 0.5.9"
"KY408495.1","Illumina","BWA v. 0.5.9"
"KY408494.1","Illumina","BWA v. 0.5.9"
"KY408493.1","Illumina","BWA v. 0.5.9"
"KY408492.1","Illumina","BWA v. 0.5.9"
"KY408491.1","Illumina","BWA v. 0.5.9"
"KY408490.1","Illumina","BWA v. 0.5.9"
"KY408489.1","Illumina","BWA v. 0.5.9"
"KY408488.1","Illumina","BWA v. 0.5.9"
"KY408487.1","Illumina","BWA v. 0.5.9"
"KY408486.1","Illumina","BWA v. 0.5.9"
"KY408485.1","Illumina","BWA v. 0.5.9"
"KY408484.1","Illumina","BWA v. 0.5.9"
"KY408483.1","Illumina","BWA v. 0.5.9"
"KY408482.1","Illumina","BWA v. 0.5.9"
"KY408481.1","Illumina","BWA v. 0.5.9"
"KY408480.1","Illumina","BWA v. 0.5.9"
"KY408479.1","Illumina","BWA v. 0.5.9"
"KY408478.1","Illumina","BWA v. 0.5.9"
"KY408477.1","Illumina","BWA v. 0.5.9"
"KY408476.1","Illumina","BWA v. 0.5.9"
"KY408475.1","Illumina","BWA v. 0.5.9"
"KY408474.1","Illumina","BWA v. 0.5.9"
"KY408473.1","Illumina","BWA v. 0.5.9"
"KY408472.1","Illumina","BWA v. 0.5.9"
"KY408471.1","Illumina","BWA v. 0.5.9"
"KY408470.1","Illumina","BWA v. 0.5.9"
"KY408469.1","Illumina","BWA v. 0.5.9"
"KY408468.1","Illumina","BWA v. 0.5.9"
"KY408467.1","Illumina","BWA v. 0.5.9"
"KY408466.1","Illumina","BWA v. 0.5.9"
"KY408465.1","Illumina","BWA v. 0.5.9"
"KY408464.1","Illumina","BWA v. 0.5.9"
"KY408463.1","Illumina","BWA v. 0.5.9"
"KY408462.1","Illumina","BWA v. 0.5.9"
"KY408461.1","Illumina","BWA v. 0.5.9"
"KY408460.1","Illumina","BWA v. 0.5.9"
"KY408459.1","Illumina","BWA v. 0.5.9"
"KY408458.1","Illumina","BWA v. 0.5.9"
"KY408457.1","Illumina","BWA v. 0.5.9"
"KY408456.1","Illumina","BWA v. 0.5.9"
"KY408455.1","Illumina","BWA v. 0.5.9"
"KY408454.1","Illumina","BWA v. 0.5.9"
"KY408453.1","Illumina","BWA v. 0.5.9"
"KY408452.1","Illumina","BWA v. 0.5.9"
"KY408451.1","Illumina","BWA v. 0.5.9"
"KY408450.1","Illumina","BWA v. 0.5.9"
"KY408449.1","Illumina","BWA v. 0.5.9"
"KY408448.1","Illumina","BWA v. 0.5.9"
"KY408447.1","Illumina","BWA v. 0.5.9"
"KY408446.1","Illumina","BWA v. 0.5.9"
"KY408445.1","Illumina","BWA v. 0.5.9"
"KY408444.1","Illumina","BWA v. 0.5.9"
"KY408443.1","Illumina","BWA v. 0.5.9"
"KY408442.1","Illumina","BWA v. 0.5.9"
"KY408441.1","Illumina","BWA v. 0.5.9"
"KY408440.1","Illumina","BWA v. 0.5.9"
"KY408439.1","Illumina","BWA v. 0.5.9"
"KY408438.1","Illumina","BWA v. 0.5.9"
"KY408437.1","Illumina","BWA v. 0.5.9"
"KY408436.1","Illumina","BWA v. 0.5.9"
"KY408435.1","Illumina","BWA v. 0.5.9"
"KY408434.1","Illumina","BWA v. 0.5.9"
"KY408433.1","Illumina","BWA v. 0.5.9"
"KY408432.1","Illumina","BWA v. 0.5.9"
"KY408431.1","Illumina","BWA v. 0.5.9"
"KY408430.1","Illumina","BWA v. 0.5.9"
"KY408429.1","Illumina","BWA v. 0.5.9"
"KY408428.1","Illumina","BWA v. 0.5.9"
"KY408427.1","Illumina","BWA v. 0.5.9"
"KY408426.1","Illumina","BWA v. 0.5.9"
"KY408425.1","Illumina","BWA v. 0.5.9"
"KY408424.1","Illumina","BWA v. 0.5.9"
"KY408423.1","Illumina","BWA v. 0.5.9"
"KY408422.1","Illumina","BWA v. 0.5.9"
"KY408421.1","Illumina","BWA v. 0.5.9"
"KY408420.1","Illumina","BWA v. 0.5.9"
"KY408419.1","Illumina","BWA v. 0.5.9"
"KY408418.1","Illumina","BWA v. 0.5.9"
"KY408417.1","Illumina","BWA v. 0.5.9"
"KY408416.1","Illumina","BWA v. 0.5.9"
"KY408415.1","Illumina","BWA v. 0.5.9"
"KY408414.1","Illumina","BWA v. 0.5.9"
"KY408413.1","Illumina","BWA v. 0.5.9"
"KY408412.1","Illumina","BWA v. 0.5.9"
"KY408411.1","Illumina","BWA v. 0.5.9"
"KY408410.1","Illumina","BWA v. 0.5.9"
"KY408409.1","Illumina","BWA v. 0.5.9"
"KY408408.1","Illumina","BWA v. 0.5.9"
"KY408407.1","Illumina","BWA v. 0.5.9"
"KY408406.1","Illumina","BWA v. 0.5.9"
"KY408405.1","Illumina","BWA v. 0.5.9"
"KY408404.1","Illumina","BWA v. 0.5.9"
"KY408403.1","Illumina","BWA v. 0.5.9"
"KY408402.1","Illumina","BWA v. 0.5.9"
"KY408401.1","Illumina","BWA v. 0.5.9"
"KY408400.1","Illumina","BWA v. 0.5.9"
"KY408399.1","Illumina","BWA v. 0.5.9"
"KY408398.1","Illumina","BWA v. 0.5.9"
"KY408397.1","Illumina","BWA v. 0.5.9"
"KY408396.1","Illumina","BWA v. 0.5.9"
"KY408395.1","Illumina","BWA v. 0.5.9"
"KY408394.1","Illumina","BWA v. 0.5.9"
"KY408393.1","Illumina","BWA v. 0.5.9"
"KY408392.1","Illumina","BWA v. 0.5.9"
"KY408391.1","Illumina","BWA v. 0.5.9"
"KY408390.1","Illumina","BWA v. 0.5.9"
"KY408389.1","Illumina","BWA v. 0.5.9"
"KY408388.1","Illumina","BWA v. 0.5.9"
"KY408387.1","Illumina","BWA v. 0.5.9"
"KY408386.1","Illumina","BWA v. 0.5.9"
"KY408385.1","Illumina","BWA v. 0.5.9"
"KY408384.1","Illumina","BWA v. 0.5.9"
"KY408383.1","Illumina","BWA v. 0.5.9"
"KY408382.1","Illumina","BWA v. 0.5.9"
"KY408381.1","Illumina","BWA v. 0.5.9"
"KY408380.1","Illumina","BWA v. 0.5.9"
"KY408379.1","Illumina","BWA v. 0.5.9"
"KY408378.1","Illumina","BWA v. 0.5.9"
"KY408377.1","Illumina","BWA v. 0.5.9"
"KY408376.1","Illumina","BWA v. 0.5.9"
"KY408375.1","Illumina","BWA v. 0.5.9"
"KY408374.1","Illumina","BWA v. 0.5.9"
"KY408373.1","Illumina","BWA v. 0.5.9"
"KY408372.1","Illumina","BWA v. 0.5.9"
"KY408371.1","Illumina","BWA v. 0.5.9"
"KY408370.1","Illumina","BWA v. 0.5.9"
"KY408369.1","Illumina","BWA v. 0.5.9"
"KY408368.1","Illumina","BWA v. 0.5.9"
"KY408367.1","Illumina","BWA v. 0.5.9"
"KY408366.1","Illumina","BWA v. 0.5.9"
"KY408365.1","Illumina","BWA v. 0.5.9"
"KY408364.1","Illumina","BWA v. 0.5.9"
"KY408363.1","Illumina","BWA v. 0.5.9"
"KY408362.1","Illumina","BWA v. 0.5.9"
"KY408361.1","Illumina","BWA v. 0.5.9"
"KY408360.1","Illumina","BWA v. 0.5.9"
"KY408359.1","Illumina","BWA v. 0.5.9"
"KY408358.1","Illumina","BWA v. 0.5.9"
"KY408357.1","Illumina","BWA v. 0.5.9"
"ON155492.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155491.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155490.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155489.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155488.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155487.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155486.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155485.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155484.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155483.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155482.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155481.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155480.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155479.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155478.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155477.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155476.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155475.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155474.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155473.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"OQ596698.1","NA","NA"
"OQ596696.1","NA","NA"
"OQ596695.1","NA","NA"
"OQ596694.1","NA","NA"
"OQ596693.1","NA","NA"
"OQ596692.1","NA","NA"
"OQ596691.1","NA","NA"
"OQ596689.1","NA","NA"
"OQ596687.1","NA","NA"
"OQ596686.1","NA","NA"
"OQ596685.1","NA","NA"
"OQ596684.1","NA","NA"
"OQ596683.1","NA","NA"
"OQ596682.1","NA","NA"
"OQ596681.1","NA","NA"
"OQ596679.1","NA","NA"
"OQ596678.1","NA","NA"
"OQ596677.1","NA","NA"
"OQ596676.1","NA","NA"
"OQ596675.1","NA","NA"
"KY408356.1","Illumina","BWA v. 0.5.9"
"KY408355.1","Illumina","BWA v. 0.5.9"
"KY408354.1","Illumina","BWA v. 0.5.9"
"KY408353.1","Illumina","BWA v. 0.5.9"
"KY408352.1","Illumina","BWA v. 0.5.9"
"KY408351.1","Illumina","BWA v. 0.5.9"
"KY408350.1","Illumina","BWA v. 0.5.9"
"KY408349.1","Illumina","BWA v. 0.5.9"
"KY408348.1","Illumina","BWA v. 0.5.9"
"KY408347.1","Illumina","BWA v. 0.5.9"
"KY408346.1","Illumina","BWA v. 0.5.9"
"KY408345.1","Illumina","BWA v. 0.5.9"
"KY408344.1","Illumina","BWA v. 0.5.9"
"KY408343.1","Illumina","BWA v. 0.5.9"
"KY408342.1","Illumina","BWA v. 0.5.9"
"KY408341.1","Illumina","BWA v. 0.5.9"
"KY408340.1","Illumina","BWA v. 0.5.9"
"KY408339.1","Illumina","BWA v. 0.5.9"
"KY408338.1","Illumina","BWA v. 0.5.9"
"KY408337.1","Illumina","BWA v. 0.5.9"
"KY408336.1","Illumina","BWA v. 0.5.9"
"KY408335.1","Illumina","BWA v. 0.5.9"
"KY408334.1","Illumina","BWA v. 0.5.9"
"KY408333.1","Illumina","BWA v. 0.5.9"
"KY408332.1","Illumina","BWA v. 0.5.9"
"KY408331.1","Illumina","BWA v. 0.5.9"
"KY408330.1","Illumina","BWA v. 0.5.9"
"KY408329.1","Illumina","BWA v. 0.5.9"
"KY408328.1","Illumina","BWA v. 0.5.9"
"KY408327.1","Illumina","BWA v. 0.5.9"
"KY408326.1","Illumina","BWA v. 0.5.9"
"KY408325.1","Illumina","BWA v. 0.5.9"
"KY408324.1","Illumina","BWA v. 0.5.9"
"KY408323.1","Illumina","BWA v. 0.5.9"
"KY408322.1","Illumina","BWA v. 0.5.9"
"KY408321.1","Illumina","BWA v. 0.5.9"
"KY408320.1","Illumina","BWA v. 0.5.9"
"KY408319.1","Illumina","BWA v. 0.5.9"
"KY408318.1","Illumina","BWA v. 0.5.9"
"KY408317.1","Illumina","BWA v. 0.5.9"
"KY408316.1","Illumina","BWA v. 0.5.9"
"KY408315.1","Illumina","BWA v. 0.5.9"
"KY408314.1","Illumina","BWA v. 0.5.9"
"KY408313.1","Illumina","BWA v. 0.5.9"
"KY408312.1","Illumina","BWA v. 0.5.9"
"KY408311.1","Illumina","BWA v. 0.5.9"
"KY408310.1","Illumina","BWA v. 0.5.9"
"KY408309.1","Illumina","BWA v. 0.5.9"
"KY408308.1","Illumina","BWA v. 0.5.9"
"KY408307.1","Illumina","BWA v. 0.5.9"
"KY408306.1","Illumina","BWA v. 0.5.9"
"KY408305.1","Illumina","BWA v. 0.5.9"
"KY408304.1","Illumina","BWA v. 0.5.9"
"KY408303.1","Illumina","BWA v. 0.5.9"
"KY408302.1","Illumina","BWA v. 0.5.9"
"KY408301.1","Illumina","BWA v. 0.5.9"
"KY408300.1","Illumina","BWA v. 0.5.9"
"KY408299.1","Illumina","BWA v. 0.5.9"
"KY408298.1","Illumina","BWA v. 0.5.9"
"KY408297.1","Illumina","BWA v. 0.5.9"
"KY408296.1","Illumina","BWA v. 0.5.9"
"KY408295.1","Illumina","BWA v. 0.5.9"
"KY408294.1","Illumina","BWA v. 0.5.9"
"KY408293.1","Illumina","BWA v. 0.5.9"
"KY408292.1","Illumina","BWA v. 0.5.9"
"KY408291.1","Illumina","BWA v. 0.5.9"
"KY408290.1","Illumina","BWA v. 0.5.9"
"KY408289.1","Illumina","BWA v. 0.5.9"
"KY408288.1","Illumina","BWA v. 0.5.9"
"KY408287.1","Illumina","BWA v. 0.5.9"
"KY408286.1","Illumina","BWA v. 0.5.9"
"KY408285.1","Illumina","BWA v. 0.5.9"
"KY408284.1","Illumina","BWA v. 0.5.9"
"KY408283.1","Illumina","BWA v. 0.5.9"
"KY408282.1","Illumina","BWA v. 0.5.9"
"KY408281.1","Illumina","BWA v. 0.5.9"
"KY408280.1","Illumina","BWA v. 0.5.9"
"KY408279.1","Illumina","BWA v. 0.5.9"
"KY408278.1","Illumina","BWA v. 0.5.9"
"KY408277.1","Illumina","BWA v. 0.5.9"
"KY408276.1","Illumina","BWA v. 0.5.9"
"KY408275.1","Illumina","BWA v. 0.5.9"
"KY408274.1","Illumina","BWA v. 0.5.9"
"KY408273.1","Illumina","BWA v. 0.5.9"
"KY408272.1","Illumina","BWA v. 0.5.9"
"KY408271.1","Illumina","BWA v. 0.5.9"
"KY408270.1","Illumina","BWA v. 0.5.9"
"KY408269.1","Illumina","BWA v. 0.5.9"
"KY408268.1","Illumina","BWA v. 0.5.9"
"KY408267.1","Illumina","BWA v. 0.5.9"
"KY408266.1","Illumina","BWA v. 0.5.9"
"KY408265.1","Illumina","BWA v. 0.5.9"
"KY408264.1","Illumina","BWA v. 0.5.9"
"KY408263.1","Illumina","BWA v. 0.5.9"
"KY408262.1","Illumina","BWA v. 0.5.9"
"KY408261.1","Illumina","BWA v. 0.5.9"
"KY408260.1","Illumina","BWA v. 0.5.9"
"KY408259.1","Illumina","BWA v. 0.5.9"
"KY408258.1","Illumina","BWA v. 0.5.9"
"KY408257.1","Illumina","BWA v. 0.5.9"
"KY408256.1","Illumina","BWA v. 0.5.9"
"KY408255.1","Illumina","BWA v. 0.5.9"
"KY408254.1","Illumina","BWA v. 0.5.9"
"KY408253.1","Illumina","BWA v. 0.5.9"
"KY408252.1","Illumina","BWA v. 0.5.9"
"KY408251.1","Illumina","BWA v. 0.5.9"
"KY408250.1","Illumina","BWA v. 0.5.9"
"KY408249.1","Illumina","BWA v. 0.5.9"
"KY408248.1","Illumina","BWA v. 0.5.9"
"KY408247.1","Illumina","BWA v. 0.5.9"
"KY408246.1","Illumina","BWA v. 0.5.9"
"KY408245.1","Illumina","BWA v. 0.5.9"
"KY408244.1","Illumina","BWA v. 0.5.9"
"KY408243.1","Illumina","BWA v. 0.5.9"
"KY408242.1","Illumina","BWA v. 0.5.9"
"KY408241.1","Illumina","BWA v. 0.5.9"
"KY408240.1","Illumina","BWA v. 0.5.9"
"KY408239.1","Illumina","BWA v. 0.5.9"
"KY408238.1","Illumina","BWA v. 0.5.9"
"KY408237.1","Illumina","BWA v. 0.5.9"
"KY408236.1","Illumina","BWA v. 0.5.9"
"KY408235.1","Illumina","BWA v. 0.5.9"
"KY408234.1","Illumina","BWA v. 0.5.9"
"KY408233.1","Illumina","BWA v. 0.5.9"
"KY408232.1","Illumina","BWA v. 0.5.9"
"KY408231.1","Illumina","BWA v. 0.5.9"
"KY408230.1","Illumina","BWA v. 0.5.9"
"KY408229.1","Illumina","BWA v. 0.5.9"
"KY408228.1","Illumina","BWA v. 0.5.9"
"KY408227.1","Illumina","BWA v. 0.5.9"
"KY408226.1","Illumina","BWA v. 0.5.9"
"KY408225.1","Illumina","BWA v. 0.5.9"
"KY408224.1","Illumina","BWA v. 0.5.9"
"KY408223.1","Illumina","BWA v. 0.5.9"
"KY408222.1","Illumina","BWA v. 0.5.9"
"KY408221.1","Illumina","BWA v. 0.5.9"
"KY408220.1","Illumina","BWA v. 0.5.9"
"KY408219.1","Illumina","BWA v. 0.5.9"
"KY408218.1","Illumina","BWA v. 0.5.9"
"KY408217.1","Illumina","BWA v. 0.5.9"
"KY408216.1","Illumina","BWA v. 0.5.9"
"KY408215.1","Illumina","BWA v. 0.5.9"
"KY408214.1","Illumina","BWA v. 0.5.9"
"KY408213.1","Illumina","BWA v. 0.5.9"
"KY408212.1","Illumina","BWA v. 0.5.9"
"KY408211.1","Illumina","BWA v. 0.5.9"
"KY408210.1","Illumina","BWA v. 0.5.9"
"KY408209.1","Illumina","BWA v. 0.5.9"
"KY408208.1","Illumina","BWA v. 0.5.9"
"KY408207.1","Illumina","BWA v. 0.5.9"
"KY408206.1","Illumina","BWA v. 0.5.9"
"KY408205.1","Illumina","BWA v. 0.5.9"
"KY408204.1","Illumina","BWA v. 0.5.9"
"KY408203.1","Illumina","BWA v. 0.5.9"
"KY408202.1","Illumina","BWA v. 0.5.9"
"KY408201.1","Illumina","BWA v. 0.5.9"
"KY408200.1","Illumina","BWA v. 0.5.9"
"KY408199.1","Illumina","BWA v. 0.5.9"
"KY408198.1","Illumina","BWA v. 0.5.9"
"KY408197.1","Illumina","BWA v. 0.5.9"
"KY408196.1","Illumina","BWA v. 0.5.9"
"KY408195.1","Illumina","BWA v. 0.5.9"
"KY408194.1","Illumina","BWA v. 0.5.9"
"KY408193.1","Illumina","BWA v. 0.5.9"
"KY408192.1","Illumina","BWA v. 0.5.9"
"KY408191.1","Illumina","BWA v. 0.5.9"
"KY408190.1","Illumina","BWA v. 0.5.9"
"KY408189.1","Illumina","BWA v. 0.5.9"
"KY408188.1","Illumina","BWA v. 0.5.9"
"KY408187.1","Illumina","BWA v. 0.5.9"
"KY408186.1","Illumina","BWA v. 0.5.9"
"KY408185.1","Illumina","BWA v. 0.5.9"
"KY408184.1","Illumina","BWA v. 0.5.9"
"KY408183.1","Illumina","BWA v. 0.5.9"
"KY408182.1","Illumina","BWA v. 0.5.9"
"KY408181.1","Illumina","BWA v. 0.5.9"
"KY408180.1","Illumina","BWA v. 0.5.9"
