accession_number,technology,assembly
"KY797222.1","Illumina","BWA v. 0.7.15"
"KY797221.1","Illumina","BWA v. 0.7.15"
"KY797220.1","Illumina","BWA v. 0.7.15"
"KY797219.1","Illumina","BWA v. 0.7.15"
"KY797218.1","Illumina","BWA v. 0.7.15"
"KY797217.1","Illumina","BWA v. 0.7.15"
"KY797216.1","Illumina","BWA v. 0.7.15"
"KY797215.1","Illumina","BWA v. 0.7.15"
"KY797214.1","Illumina","BWA v. 0.7.15"
"KY797213.1","Illumina","BWA v. 0.7.15"
"KY797212.1","Illumina","BWA v. 0.7.15"
"KY797211.1","Illumina","BWA v. 0.7.15"
"KY797210.1","Illumina","BWA v. 0.7.15"
"KY797209.1","Illumina","BWA v. 0.7.15"
"KY797208.1","Illumina","BWA v. 0.7.15"
"KY797207.1","Illumina","BWA v. 0.7.15"
"KY797206.1","Illumina","BWA v. 0.7.15"
"KY797205.1","Illumina","BWA v. 0.7.15"
"KY797204.1","Illumina","BWA v. 0.7.15"
"KY797203.1","Illumina","BWA v. 0.7.15"
"KY797202.1","Illumina","BWA v. 0.7.15"
"KY797201.1","Illumina","BWA v. 0.7.15"
"KY797200.1","Illumina","BWA v. 0.7.15"
"KY797199.1","Illumina","BWA v. 0.7.15"
"KY797198.1","Illumina","BWA v. 0.7.15"
"KY797197.1","Illumina","BWA v. 0.7.15"
"KY797196.1","Illumina","BWA v. 0.7.15"
"KY797195.1","Illumina","BWA v. 0.7.15"
"KY797194.1","Illumina","BWA v. 0.7.15"
"KY797193.1","Illumina","BWA v. 0.7.15"
"KY797192.1","Illumina","BWA v. 0.7.15"
"KY797191.1","Illumina","BWA v. 0.7.15"
"KY797190.1","Illumina","BWA v. 0.7.15"
"KY797189.1","Illumina","BWA v. 0.7.15"
"KY797188.1","Illumina","BWA v. 0.7.15"
"KY797187.1","Illumina","BWA v. 0.7.15"
"KY797186.1","Illumina","BWA v. 0.7.15"
"KY797185.1","Illumina","BWA v. 0.7.15"
"KY797184.1","Illumina","BWA v. 0.7.15"
"KY797183.1","Illumina","BWA v. 0.7.15"
"KY797182.1","Illumina","BWA v. 0.7.15"
"KY797181.1","Illumina","BWA v. 0.7.15"
"KY797180.1","Illumina","BWA v. 0.7.15"
"KY797178.1","Illumina","BWA v. 0.7.15"
"KY797177.1","Illumina","BWA v. 0.7.15"
"KY797176.1","Illumina","BWA v. 0.7.15"
"KY797175.1","Illumina","BWA v. 0.7.15"
"KY797174.1","Illumina","BWA v. 0.7.15"
"KY797173.1","Illumina","BWA v. 0.7.15"
"KY797172.1","Illumina","BWA v. 0.7.15"
"KY797171.1","Illumina","BWA v. 0.7.15"
"KY797170.1","Illumina","BWA v. 0.7.15"
"KY797169.1","Illumina","BWA v. 0.7.15"
"KY797168.1","Illumina","BWA v. 0.7.15"
"KY797167.1","Illumina","BWA v. 0.7.15"
"KY797166.1","Illumina","BWA v. 0.7.15"
"KY797165.1","Illumina","BWA v. 0.7.15"
"KY797164.1","Illumina","BWA v. 0.7.15"
"KY797163.1","Illumina","BWA v. 0.7.15"
"KM047235.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047234.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047233.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047232.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047231.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047230.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047229.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047228.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047227.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047226.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047225.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047224.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047223.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047222.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047221.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047220.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047219.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
