motif,profiles
M9a1a1a,NA19563 NA18969 NA18956 NA18593 NA18115
M9a1a1b,
M9a1a1c,
M9a1a1c1,NA17965
M9a1a1c1a,
M9a1a1c1b,
M9a1a1c1b1,
M9a1a1c1b1a,
M9a1a1c1b1a1,
M9a1a1c1b1a2,
M9a1a1c1b2,
M9a1a1c1c,
M9a1a1d,
M9a1a2,
M9a1a3,
M9a1b,
M9a1b+150,
M9a1b1,
M9a1b1a,
M9a1b1a1,
M9a1b1b,
M9a1b1c,
M9a1b2,
M9a4,
M9a4a,
M9a4a1,
M9a4a2,
M9a4b,
M9a5,
M9b,
E,
E1,
E1a,
E1a1,
E1a1a,
E1a1a1,
E1a1a1a,
E1a1a1b,
E1a1a1b1,
E1a1a1b2,
E1a1a1c,
E1a1b,
E1a1b1,
E1a1b2,
E1a1b3,
E1a1b4,
E1a1c,
E1a2,
E1a2+(16261),
E1a2a,
E1a2a1,
E1a2a2,
E1a2a3,
E1a2a4,
E2,
E2a,
E2a1,
E2a1a,
E2a2,
E2b,
E2b1,
E2b2,
M10,
M10a,
M10a1,
M10a1+16129,
M10a1a,
M10a1a1,
M10a1a1a,
M10a1a1b,NA18760
M10a1a1b1,
M10a1a1b2,
M10a1b,HG00559 NA18749
M10a2,NA18649
M11,
M11+200,
M11a'b,
M11a,
M11a1,
M11a2,
M11b,
M11b1,
M11b1a,
M11b1a1,
M11b2,
M11d,NA17983
M11c,NA18608
M12'G,
M12,
M12a,
M12a1,
M12a1a,
M12a1a1,HG00626
M12a1a2,
M12a1b,
M12a2,
M12b,
M12b1,
M12b1a,
M12b1a1,
M12b1a2,
M12b1a2a,
M12b1a2b,
M12b1b,
M12b2,
M12b2a,
G,
G1,NA18634
G1a,
G1a1,NA18163
G1a1a,NA19067 NA18963
G1a1a1,
G1a1a2,NA19060 NA18990
G1a1a3,
G1a1a4,NA19007
G1a1b,
G1a2'3,
G1a2,NA18764
G1a3,
G1b,
G1b1,
G1b+16129,
G1b2,
G1b3,
G1b4,
G1c,
G1c1,
G1c2,NA18570
G2,
G2a'c,
G2a,
G2a1,NA18161
G2a1b,NA19062
G2a1+16189,NA19058
G2a1+16189+16194,
G2a1c,
G2a1c1,
G2a1c2,NA19083
G2a1d,
G2a1d1,
G2a1d1a,NA19003
G2a1d2,
G2a1d2a,NA18526
G2a1e,
G2a1f,NA18635
G2a1f1,
G2a1g,
G2a1h,
G2a+152,
G2a2,
G2a2a,
G2a3,
G2a3a,
G2a4,
G2a5,NA18955
G2c,
G2b,
G2b1,
G2b1a,
G2b1a1,
G2b1a2,NA18637
G2b1b,
G2b2,NA18742
G2b2a,
G2b2b,
G2b2c,
G3,
G3a,
G3a1'2,
G3a1,
G3a1a,
G3a2,
G3a2+152,
G3a2a,
G3a3,
G3b,
G3b1,
G3b2,
G4,
M13'46'61,
M13,
M13a'b,
M13a,
M13a1,
M13a1a,
M13a1b,
M13a1b1,
M13a2,
M13b,
M13b1,
M13b2,
M13c,
M13'46'61+16362,
M46,
M46a,
M61,
M61a,
M14,
M15,
M17,
M17a,
M17c,
M17c1,
M17c1a,
M17c1a1,
M17c1a1a,
M19'53,
M19,
M53,
M53b,
M21,
M21a,
M21b,
M21b1,
M21b1a,
M21b+210,
M21b2,
M22,
M22a,
M22b,
M23'75,
M23,
M75,
M24'41,
M24,
M24a,
M24b,
M41,
M41a,
M41a1,
M41b,
M41c,
M25,
M26,
M27,
M27a,
M27a1,
M27a1a,
M27a1a1,
M27a1a2,
M27a1b,
M27a2,
M27a2a,
M27a2b,
M27a3,
M27b,
M27b1,
M27b2,
M27b2a,
M27b2a1,
M27b2b,
M27b2b1,
M27b2c,
M27c,
M28,
M28a,
M28a1,
M28a+204,
M28a2,
M28a2a,
M28a3,
M28a4,
M28a5,
M28a5a,
M28a5b,
M28a6,
M28a6a,
M28a7,
M28a7a,
M28a7b,
M28b,
M28b1,
M29'Q,
M29,
M29a,
M29b,
M29b1,
Q,
Q1'2,
Q1,
Q1+@16223,
Q1a,
Q1a1,
Q1a1a,
Q1b,
Q1c,
Q1c1,
Q1c1a,
Q1c2,
Q1c2a,
Q1d,
Q1e,
Q1e1,
Q1e1a,
Q1e1a1,
Q1e1b,
Q1e1b1,
Q1e1c,
Q1f,
Q1f1,
Q1f2,
Q2,
Q2a,
Q2a1,
Q2a2,
Q2a2a,
Q2a2b,
Q2a3,
Q2a3a,
Q2a3b,
Q2a4,
Q2b,
Q3,
Q3a,
Q3a+61+62,
Q3a1,
Q3b,
M31,
M31a,
M31a1,
M31a1a,
M31a1b,
M31a2,
M31b'c,
M31b,
M31b1,
M31b2,
M31c,
M32'56,
M32,
M32a,
M32c,NA19982
M56,
M33,
M33a,
M33a1,
