accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
NA11933,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12046,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12282,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12283,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12286,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12748,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12843,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12889,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12890,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA20507,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20503,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20514,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA12827,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12829,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12830,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12842,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA11930,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA11932,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18632,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18624,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18633,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18611,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18612,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18620,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18621,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18622,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18636,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18623,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA19443,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19462,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19429,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19438,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19437,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19313,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19440,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19439,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19436,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19467,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19311,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19451,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19463,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19457,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19445,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19435,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19466,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19452,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19469,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19446,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19448,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19449,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19455,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19083,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18977,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18987,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19010,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19002,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19084,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19079,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18991,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19077,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19078,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18963,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19076,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19075,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19074,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19009,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19085,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18990,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19072,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18615,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18616,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18619,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18631,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18617,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18627,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18626,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18628,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18618,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18630,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18614,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA12275,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA19355,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19359,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19360,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19371,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19372,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19375,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19376,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19377,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19379,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19381,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19382,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19383,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19384,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19385,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19390,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19391,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19393,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19394,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19395,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19397,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19398,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19399,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19401,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19404,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA19428,ILLUMINA,Luhya in Kenya,1K_GENOMES,,,,,
NA20532,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20814,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20536,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
HG00565,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00560,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00577,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00578,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00592,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00593,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00596,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00404,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00610,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00611,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00625,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00635,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00634,ILLUMINA,Southern Han Chinese,1K_GENOMES,,,,,
HG00446,ABI_SOLID,Southern Han Chinese,1K_GENOMES,,,,,
HG00406,ABI_SOLID,Southern Han Chinese,1K_GENOMES,,,,,
HG00407,ABI_SOLID,Southern Han Chinese,1K_GENOMES,,,,,
